06.12 14:45:43.960 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.12 14:45:43.960 | 信息 - 任务=1，信息=开始编译
06.12 14:45:43.961 | 信息 - 任务=1，信息=结束编译
06.12 14:45:43.961 | 信息 - 任务=1，信息=开始运行
06.12 14:45:43.970 | 信息 - 任务=1，信息=结束运行
06.12 14:47:37.276 | 信息 - 正常退出
06.12 14:47:48.839 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.12 14:47:48.839 | 信息 - 任务=1，信息=开始编译
06.12 14:47:48.840 | 信息 - 任务=1，信息=结束编译
06.12 14:47:48.840 | 信息 - 任务=1，信息=开始运行
06.12 14:47:48.848 | 信息 - 任务=1，信息=结束运行
06.12 18:41:07.528 | 信息 - ------ 开始编译 ------
06.12 18:41:07.528 | 信息 - ------ 开始编译 ------
06.12 18:41:07.529 | 信息 - ------ 编译成功 ------
06.12 18:41:07.529 | 信息 - Linked 'hkzb'
06.12 18:41:07.529 | 信息 - ------ 编译成功 ------
06.12 18:41:10.278 | 信息 - ------ 开始编译 ------
06.12 18:41:10.278 | 信息 - ------ 开始编译 ------
06.12 18:41:10.279 | 信息 - ------ 编译成功 ------
06.12 18:41:10.279 | 信息 - Linked 'etf'
06.12 18:41:10.279 | 信息 - ------ 编译成功 ------
06.12 21:51:23.885 | 信息 - ------ 开始编译 ------
06.12 21:51:23.885 | 信息 - No change
06.12 21:51:23.885 | 信息 - ------ 开始编译 ------
06.12 21:51:23.885 | 信息 - [C:\dzh365\cfg\script\116\etf.ds] No change
06.12 21:51:23.885 | 信息 - ------ 编译成功 ------
06.12 21:51:23.886 | 信息 - Linked 'etf'
06.12 21:51:23.886 | 信息 - ------ 编译成功 ------
06.12 22:46:01.611 | 信息 - 正常退出
06.12 22:48:24.913 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.12 22:48:24.913 | 信息 - 任务=1，信息=开始编译
06.12 22:48:24.913 | 信息 - 任务=1，信息=结束编译
06.12 22:48:24.913 | 信息 - 任务=1，信息=开始运行
06.12 22:48:24.913 | 信息 - 任务=1，信息=结束运行
06.12 22:50:32.271 | 信息 - 正常退出
06.12 22:59:54.933 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.12 22:59:54.933 | 信息 - 任务=1，信息=开始编译
06.12 22:59:54.933 | 信息 - 任务=1，信息=结束编译
06.12 22:59:54.933 | 信息 - 任务=1，信息=开始运行
06.12 22:59:54.933 | 信息 - 任务=1，信息=结束运行
06.12 23:02:32.802 | 信息 - 正常退出
06.13 08:55:20.010 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.13 08:55:20.010 | 信息 - 任务=1，信息=开始编译
06.13 08:55:20.010 | 信息 - 任务=1，信息=结束编译
06.13 08:55:20.010 | 信息 - 任务=1，信息=开始运行
06.13 08:55:20.026 | 信息 - 任务=1，信息=结束运行
06.13 09:01:30.001 | 信息 - ------ 开始编译 ------
06.13 09:01:30.001 | 信息 - ------ 开始编译 ------
06.13 09:01:30.001 | 信息 - ------ 编译成功 ------
06.13 09:01:30.001 | 信息 - Linked 'cyzs'
06.13 09:01:30.001 | 信息 - ------ 编译成功 ------
06.13 10:13:19.410 | 信息 - ------ 开始编译 ------
06.13 10:13:19.410 | 信息 - ------ 开始编译 ------
06.13 10:13:19.413 | 信息 - ------ 编译成功 ------
06.13 10:13:19.413 | 信息 - Linked 'FundRecentlyBrowse'
06.13 10:13:19.413 | 信息 - ------ 编译成功 ------
06.13 13:33:05.773 | 信息 - ------ 开始编译 ------
06.13 13:33:05.775 | 信息 - ------ 编译成功 ------
06.13 22:07:25.208 | 信息 - 正常退出
06.13 22:07:30.462 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.13 22:07:30.462 | 信息 - 任务=1，信息=开始编译
06.13 22:07:30.462 | 信息 - 任务=1，信息=结束编译
06.13 22:07:30.462 | 信息 - 任务=1，信息=开始运行
06.13 22:07:30.471 | 信息 - 任务=1，信息=结束运行
06.13 22:16:49.448 | 信息 - 正常退出
06.13 22:16:56.135 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.13 22:16:56.135 | 信息 - 任务=1，信息=开始编译
06.13 22:16:56.135 | 信息 - 任务=1，信息=结束编译
06.13 22:16:56.135 | 信息 - 任务=1，信息=开始运行
06.13 22:16:56.144 | 信息 - 任务=1，信息=结束运行
06.14 08:55:10.679 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.14 08:55:10.679 | 信息 - 任务=1，信息=开始编译
