06.12 14:48:02.989 | 信息 - 自选股：切换用户成功
06.12 22:48:31.137 | 信息 - 自选股：切换用户成功
06.12 22:59:58.615 | 信息 - 自选股：切换用户成功
06.13 08:55:25.532 | 信息 - 自选股：切换用户成功
06.13 22:07:34.013 | 信息 - 自选股：切换用户成功
06.13 22:16:59.494 | 信息 - 自选股：切换用户成功
06.14 08:55:14.813 | 信息 - 自选股：切换用户成功
06.15 09:02:20.918 | 信息 - 自选股：切换用户成功
06.15 10:57:41.973 | 信息 - 自选股：切换用户成功
06.15 15:02:19.669 | 信息 - 自选股：切换用户成功
06.15 22:18:26.480 | 信息 - 自选股：切换用户成功
06.16 09:18:44.739 | 信息 - 自选股：切换用户成功
06.16 21:54:47.509 | 信息 - 自选股：切换用户成功
06.16 22:34:30.539 | 信息 - 自选股：切换用户成功
06.16 23:02:06.517 | 信息 - 自选股：切换用户成功
06.17 09:09:36.488 | 信息 - 自选股：切换用户成功
06.18 17:37:11.748 | 信息 - 自选股：切换用户成功
06.18 17:45:09.526 | 信息 - 自选股：切换用户成功
06.18 22:54:29.988 | 信息 - 自选股：切换用户成功
06.19 13:15:12.915 | 信息 - 自选股：切换用户成功
06.19 13:30:11.731 | 信息 - 自选股：切换用户成功
06.19 16:59:24.551 | 信息 - 自选股：切换用户成功
06.19 17:34:46.542 | 信息 - 自选股：切换用户成功
06.19 17:54:23.969 | 信息 - 自选股：切换用户成功
06.19 18:01:36.148 | 信息 - 自选股：切换用户成功
06.19 18:25:27.962 | 信息 - 自选股：切换用户成功
06.19 18:38:19.452 | 信息 - 自选股：切换用户成功
06.19 18:58:20.391 | 信息 - 自选股：切换用户成功
06.19 19:06:25.051 | 信息 - 自选股：切换用户成功
06.19 20:23:11.328 | 信息 - 自选股：切换用户成功
06.19 20:42:50.100 | 信息 - 自选股：切换用户成功
06.19 20:44:52.255 | 信息 - 自选股：切换用户成功
06.19 21:00:24.792 | 信息 - 自选股：切换用户成功
06.19 21:00:31.656 | 信息 - 自选股：切换用户成功
06.19 21:52:22.072 | 信息 - 自选股：切换用户成功
06.19 21:52:34.686 | 信息 - 自选股：切换用户成功
06.19 21:52:49.118 | 信息 - 自选股：切换用户成功
06.19 21:53:11.729 | 信息 - 自选股：切换用户成功
06.19 21:57:40.603 | 信息 - 自选股：切换用户成功
06.19 21:58:15.001 | 信息 - 自选股：切换用户成功
06.19 21:58:38.602 | 信息 - 自选股：切换用户成功
06.20 09:05:02.133 | 信息 - 自选股：切换用户成功
06.20 21:40:11.151 | 信息 - 自选股：切换用户成功
06.26 18:00:33.023 | 信息 - 自选股：切换用户成功
06.26 19:21:41.026 | 信息 - 自选股：切换用户成功
06.26 19:28:59.673 | 信息 - 自选股：切换用户成功
06.26 19:38:48.436 | 信息 - 自选股：切换用户成功
